Jun 20 07:20:54 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/20, changed state to up
Jun 20 07:20:55 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/25, changed state to up
Jun 20 07:20:55 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/25, changed state to up
Jun 20 07:22:41 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/12, changed state to down
Jun 20 07:22:42 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/12, changed state to down
Jun 20 07:22:45 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/12, changed state to up
Jun 20 07:22:45 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/12, changed state to up
Jun 20 07:22:54 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/10, changed state to down
Jun 20 07:22:55 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/10, changed state to down
Jun 20 07:22:58 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/10, changed state to up
Jun 20 07:22:58 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/10, changed state to up
Jun 20 07:23:09 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/16, changed state to down
Jun 20 07:23:10 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/16, changed state to down
Jun 20 07:23:12 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/16, changed state to up
Jun 20 07:23:12 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/16, changed state to up
Jun 20 08:37:36 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/13, changed state to down
Jun 20 08:37:37 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/13, changed state to down
Jun 20 08:38:42 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/13, changed state to up
Jun 20 08:38:42 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/13, changed state to up
Jun 20 08:38:55 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/13, changed state to down
Jun 20 08:38:56 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/13, changed state to down
Jun 20 08:39:05 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/13, changed state to up
Jun 20 08:39:05 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/13, changed state to up
Jun 20 08:39:09 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/13, changed state to down
